SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
OahuBird.324	OTU1037_suspect_mock_chimera	GS	100	BOLD:ACV1604.1	Animalia	Arthropoda	Insecta	Coleoptera	Ptinidae	Dorcatoma	Dorcatoma setulosa	69	BOLD:ACV1604		RBLE
OahuBird.324	OTU108_suspect_mock_variant	GS	100	BOLD:AAC6357.1	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Xenolechia	Xenolechia ontariensis	168	BOLD:AAC6357		RBLE
OahuBird.324	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	480	BOLD:ACQ6990		RBLE
OahuBird.324	OTU134_suspect_mock_chimera	GS	99.4	BOLD:AAF9055.2	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Erioptera	Erioptera septemtrionis	337	BOLD:AAF9055		RBLE
OahuBird.324	OTU139_suspect_mock_chimera	GS	100	BOLD:ACA9904.7	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Cheilotrichia	Cheilotrichia stigmatica	482	BOLD:ACA9904		RBLE
OahuBird.324	OTU1485_suspect_mock_chimera	GS	99.4	BOLD:AAA6709.2	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Ceratomia	Ceratomia undulosa	99	BOLD:AAA6709		RBLE
OahuBird.324	OTU154_suspect_mock_chimera	GS	100	BOLD:AAH2433.1	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Athous	Athous acanthus	265	BOLD:AAH2433		RBLE
OahuBird.324	OTU1663_suspect_mock_chimera	SS	1	BOLD:AAO8357.1	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae	Delphacodes	Delphacodes detecta	224	BOLD:AAO8357		RBLE
OahuBird.324	OTU1717_suspect_mock_chimera	GS	100	BOLD:AAB8800.1	Animalia	Arthropoda	Insecta	Lepidoptera	Autostichidae	Gerdana	Gerdana caritella	52	BOLD:AAB8800		RBLE
OahuBird.324	OTU171_suspect_mock_chimera	GS	100	BOLD:AAB6784.1	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Pirata	Pirata piraticus	427	BOLD:AAB6784		RBLE
OahuBird.324	OTU174_suspect_mock_chimera	GS	100	BOLD:AAA3067.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Eucopina	Eucopina cocana	54	BOLD:AAA3067		RBLE
OahuBird.324	OTU1754_suspect_mock_chimera	US	0.9715	BOLD:ACT9282.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	52	BOLD:ACT9282		RBLE
OahuBird.324	OTU183_suspect_mock_chimera	GS	100	BOLD:AAB8595.2	Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Nemotaulius	Nemotaulius hostilis	382	BOLD:AAB8595		RBLE
OahuBird.324	OTU187_suspect_mock_chimera	GS	100	BOLD:AAO8357.1	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae	Delphacodes	Delphacodes detecta	397	BOLD:AAO8357		RBLE
OahuBird.324	OTU189_suspect_mock_chimera	GS	100	BOLD:ABW5810.1	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Euphylidorea	Euphylidorea luteola	383	BOLD:ABW5810		RBLE
OahuBird.324	OTU192_suspect_mock_chimera	GS	100	BOLD:AAB0300.1	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinx	Sphinx kalmiae	343	BOLD:AAB0300		RBLE
OahuBird.324	OTU195_suspect_mock_chimera	GS	100	BOLD:AAL7322.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	NA	NA	57	BOLD:AAL7322		RBLE
OahuBird.324	OTU197_suspect_mock_chimera	GS	100	BOLD:ABY0004.3	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	240	BOLD:ABY0004		RBLE
OahuBird.324	OTU1990_suspect_mock_chimera	GS	97.2	BOLD:AAM7760.1	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	88	BOLD:AAM7760		RBLE
OahuBird.324	OTU202_suspect_mock_chimera	GS	100	BOLD:AAI3614.3	Animalia	Arthropoda	Insecta	Diptera	Stratiomyidae	Odontomyia	Odontomyia cincta	340	BOLD:AAI3614		RBLE
OahuBird.324	OTU204_suspect_mock_chimera	GS	100	BOLD:AAK8834.1	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Metalimnobia	Metalimnobia triocellata	158	BOLD:AAK8834		RBLE
OahuBird.324	OTU209_suspect_mock_chimera	GS	100	BOLD:ACU1373.1	Animalia	Arthropoda	Insecta	Coleoptera	Psephenidae	Ectopria	Ectopria thoracica	274	BOLD:ACU1373		RBLE
OahuBird.324	OTU215_suspect_mock_chimera	GS	100	BOLD:AAG3622.1	Animalia	Arthropoda	Insecta	Hemiptera	Aphrophoridae	Aphrophora	Aphrophora cribrata	143	BOLD:AAG3622		RBLE
OahuBird.324	OTU235_suspect_mock_chimera	GS	100	BOLD:AAC0442.1	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Lejops	Lejops curvipes	275	BOLD:AAC0442		RBLE
OahuBird.324	OTU236_suspect_mock_chimera	GS	100	BOLD:AAA8076.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Pseudexentera	Pseudexentera cressoniana	319	BOLD:AAA8076		RBLE
OahuBird.324	OTU253_suspect_mock_chimera	GS	100	BOLD:AAE5160.1	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Harpalus	Harpalus rufipes	129	BOLD:AAE5160		RBLE
OahuBird.324	OTU260_suspect_mock_chimera	GS	100	BOLD:AAO2061.1	Animalia	Arthropoda	Insecta	Blattodea	Ectobiidae	Parcoblatta	NA	144	BOLD:AAO2061		RBLE
OahuBird.324	OTU261_suspect_mock_chimera	GS	100	BOLD:ACX7675.1	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	295	BOLD:ACX7675		RBLE
OahuBird.324	OTU262_suspect_mock_chimera	GS	100	BOLD:AAA5485.2	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Eucosma	Eucosma parmatana	238	BOLD:AAA5485		RBLE
