SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,Species,AgeClass,Sex,Date,NestBox,uneID,Sequenced,onclick
une-31,OTU398_suspect_mock_chimera,GS,99.4,BOLD:ACK5507.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,169,BOLD:ACK5507,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACK5507
une-31,OTU400,US,1,BOLD:AAK4381.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,48,BOLD:AAK4381,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAK4381
une-31,OTU401_suspect_mock_chimera,GS,99.4,BOLD:AAC3243.2,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche phalerata,247,BOLD:AAC3243,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC3243
une-31,OTU404_suspect_mock_chimera,GS,100,BOLD:AAF4967.2,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Discobola,Discobola annulata,150,BOLD:AAF4967,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF4967
une-31,OTU408_suspect_mock_chimera,GS,100,BOLD:AAF9785.1,Animalia,Arthropoda,Insecta,Diptera,Empididae,NA,NA,97,BOLD:AAF9785,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF9785
une-31,OTU409_suspect_mock_chimera,US,0.9963,BOLD:AAW0416.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,149,BOLD:AAW0416,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAW0416
une-31,OTU410_suspect_mock_chimera,SS,1,BOLD:AAB0222.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,162,BOLD:AAB0222,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB0222
une-31,OTU411_suspect_mock_chimera,GS,99.4,BOLD:AAP3639.4,Animalia,Arthropoda,Insecta,Diptera,Empididae,Rhamphomyia,NA,147,BOLD:AAP3639,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAP3639
une-31,OTU414_suspect_mock_chimera,GS,100,BOLD:AAA9420.4,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pelochrista,Pelochrista derelicta,88,BOLD:AAA9420,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA9420
une-31,OTU415_suspect_mock_chimera,GS,100,BOLD:AAC5775.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche hageni,89,BOLD:AAC5775,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC5775
une-31,OTU417_suspect_mock_chimera,GS,98.9,BOLD:AAA8213.3,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,147,BOLD:AAA8213,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA8213
