SampleID,OTUid,OTU_identifier,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Site,Date,BatTagID,BatSpecies,Sex
nau.7021,OTU6,BOLD:AAA3313,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Coenipeta,Coenipeta bibitrix,SARDINA,6/1/16,16,CAPE,F
nau.7021,OTU255,BOLD:AAB5414,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora cratipennella,SARDINA,6/1/16,16,CAPE,F
nau.7021,OTU196,BOLD:AAB7737,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Donacaula,Donacaula melinella CS,SARDINA,6/1/16,16,CAPE,F
nau.7021,OTU170,BOLD:AAH0136,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga anxia,SARDINA,6/1/16,16,CAPE,F
nau.7023,OTU213,BOLD:AAF6987,Animalia,Arthropoda,Insecta,Ephemeroptera,unknown,unknown,unknown,SARDINA,6/1/16,18,MYNI,F
nau.7023,OTU162,BOLD:AAH5770,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,unknown,unknown,SARDINA,6/1/16,18,MYNI,F
nau.7023,OTU218,BOLD:AAR9607,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Photedes,Photedes enervata,SARDINA,6/1/16,18,MYNI,F
nau.7023,OTU245,BOLD:ACH1993,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,SARDINA,6/1/16,18,MYNI,F
nau.7023,OTU7,BOLD:ACN4193,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,SARDINA,6/1/16,18,MYNI,F
nau.7031,OTU7,BOLD:ACN4193,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,SARDINA,6/1/16,32,MYNI,noRecord
nau.7032,OTU6,BOLD:AAA3313,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Coenipeta,Coenipeta bibitrix,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU3,BOLD:AAA4727,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU196,BOLD:AAB7737,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Donacaula,Donacaula melinella CS,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU70,BOLD:AAY4866,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU48,BOLD:ABA3533,Animalia,Arthropoda,Insecta,Coleoptera,unknown,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU259,BOLD:ACJ1633,Animalia,Arthropoda,Insecta,Diptera,unknown,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU250,BOLD:ACJ4237,Animalia,Arthropoda,Arachnida,Trombidiformes,unknown,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7032,OTU404,BOLD:ACJ9843,Animalia,Arthropoda,Collembola,Entomobryomorpha,unknown,unknown,unknown,SARDINA,6/1/16,34,TRCI,F
nau.7033,OTU306,BOLD:AAH5500,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,unknown,unknown,SARDINA,6/1/16,35,RHNA,F
nau.7033,OTU334,BOLD:AAH5825,Animalia,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,unknown,unknown,SARDINA,6/1/16,35,RHNA,F
nau.7033,OTU65,BOLD:AAM6232,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Coelotanypus,unknown,SARDINA,6/1/16,35,RHNA,F
nau.7033,OTU230,BOLD:ACG3703,Animalia,Arthropoda,Insecta,Diptera,unknown,unknown,unknown,SARDINA,6/1/16,35,RHNA,F
nau.7033,OTU102,BOLD:ACR8071,Animalia,Arthropoda,Insecta,Hymenoptera,unknown,unknown,unknown,SARDINA,6/1/16,35,RHNA,F
nau.7033,OTU528,BOLD:ACY4794,Animalia,Arthropoda,Insecta,Lepidoptera,unknown,unknown,unknown,SARDINA,6/1/16,35,RHNA,F
