CommonName,LinneanName,Database
,Tetracis cachexiata,CanadaNR
,Tetropium fuscum,CanadaNR
,Thallophaga hyperborea,CanadaNR
,Thecodiplosis piniresinosae,CanadaNR
,Thera otisi,CanadaNR
,Tolype dayi,CanadaNR
,Tomicus piniperda,CanadaNR
,Toumeyella parvicornis,CanadaNR
,Trachykele blondeli,CanadaNR
,Trypodendron lineatum,CanadaNR
,Vasates quadripedes,CanadaNR
,Xanthogaleruca luteola,CanadaNR
,Xestia mustelina,CanadaNR
,Xestia praevia,CanadaNR
,Xyleborinus saxeseni,CanadaNR
,Xylosandrus germanus,CanadaNR
,Zale duplicata,CanadaNR
,Zeiraphera canadensis,CanadaNR
,Zeiraphera hesperiana,CanadaNR
,Zeiraphera improbana,CanadaNR
,Zeiraphera unfortunana,CanadaNR
,Zeiraphera vancouverana,CanadaNR
,Zelleria haimbachi,CanadaNR
Alder root and collar rot,Phytophthora alni,Perdue
Alfalfa broomrape,Orobanche aegyptiaca,Perdue
Alfalfa mosaic (AMV),Alfamovirus Alfalfa Mosaic Virus,Perdue
Alfalfa snout beetle,Otiorhynchus ligustici,Perdue
Alfalfa weevil,Hypera postica,Perdue
Alligatorweed,Alternanthera philoxeroides,Perdue
Allium leaf miner,Phytomyza gymnostoma,Perdue
Allium leafminer,Acrolepiopsis sapporensis,Perdue
Almond witches' broom,Candidatus Phytoplasma phoenicium 16SrIX-B,Perdue
Ambrosia beetle,Megaplatypus mutatus,Perdue
Ambrosia beetle,Anisandrus maiche,Perdue
American foulbrood,Paenibacillus larvae larvae,Perdue
American palm cixiid,Haplaxius crudus,Perdue
Annual ryegrass toxicity,Rathayibacter toxicus,Perdue
Anthracnose; Leaf blight,Colletotrichum truncatum,Perdue
Apple ermine moth,Yponomeuta malinellus,Perdue
Apple maggot,Rhagoletis pomonella,Perdue
Apple proliferation,Candidatus Phytoplasma mali 16SrX-A,Perdue
Apple root-knot nematode,Meloidogyne mali,Perdue
Apple Tortrix,Archips fuscocupreanus,Perdue
Argentine ant,Linepithema humile,Perdue
Arrowhead scale,Unaspis yanonensis,Perdue
Ash dieback,Hymenoscyphus fraxineus,Perdue
Ashwaganda,Withania somnifera,Perdue
Asian corn borer,Ostrinia furnacalis,Perdue
Asian giant hornet,Vespa mandarinia,Perdue
Asian gypsy moth,Lymantria dispar asiatica,Perdue
Asian longhorned beetle,Anoplophora glabripennis,Perdue
Asian pear blight,Erwinia pyrifoliae,Perdue
Asian tiger mosquito,Aedes albopictus,Perdue
Asiatic brown rot,Monilia polystroma,Perdue
Asiatic citrus psyllid,Diaphorina citri,Perdue
Asiatic garden beetle,Maladera castanea,Perdue
Asiatic rice borer,Chilo suppressalis,Perdue
Asiatic witchweed,Striga asiatica,Perdue
Australasian soybean rust,Phakopsora pachyrhizi,Perdue
Australian grapevine yellows,Candidatus Phytoplasma australiense 16SrXII-B,Perdue
Australian pine,Casuarina equisetifolia,Perdue
Autumn-olive,Elaeagnus umbellata,Perdue
Avocado seed moth,Stenoma catenifer,Perdue
Bacterial blight,Xanthomonas oryzae pv. oryzae,Perdue
Bacterial blight,Xanthomonas axonopodis,Perdue
Bacterial fasciation,Rhodococcus fascians,Perdue
Bacterial leaf scorch,Xylella fastidiosa,Perdue
Bacterial leaf spot/ blight,Acidovorax anthurii,Perdue
Bacterial leaf streak,Xanthomonas oryzae pv. oryzicola,Perdue
Bacterial rot/ blight,Dickeya dadantii,Perdue
Bacterial rot/ blight,Dickeya zeae,Perdue
Bacterial rot/ blight,Dickeya dieffenbachiae,Perdue
Bacterial wilt,Xanthomonas campestris,Perdue
Bacterial wilt; Southern bacterial wilt,Ralstonia solanacearum race 3 biovar 2,Perdue
Bagrada bug,Bagrada hilaris,Perdue
Bakanae; Foolish seedling,Fusarium fujikuroi,Perdue
Bamboo borer,Chlorophorus annularis,Perdue
Bamboo spider mite,Schizotetranychus celarius,Perdue
Banana moth,Opogona sacchari,Perdue
Banded elm bark beetle,Scolytus schevyrewi,Perdue
Banks Melastoma,Melastoma malabathricum,Perdue
